services,date,time,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method
bike,2024-07-02,14:27:27.658424,completed,Domlur Crescent,Yelahanka Lane,68,RD2288885668133664,14.32,870.9,44.56,915.46,Amazon Pay
parcel,2024-08-16,23:59:24.658424,completed,Byatarayanapura Court,Chikkajala Promenade,62,RD8902094987907018,33.59,507.24,10.47,517.71,Amazon Pay
cab economy,2024-06-25,10:00:38.658424,completed,Yelahanka Station,Jakkasandra Park,93,RD1162119573598652,26.1,747.39,48.11,795.5,QR scan
auto,2024-08-10,01:00:46.658424,cancelled,Banerghatta Road Square,Kothanur Landing,18,RD1696592059962789,25.29,,,,nan
parcel,2024-07-11,21:01:43.658424,completed,Chandra Layout Pointe,Anekal Place,94,RD2688640971137891,11.35,409.03,24.11,433.14,Paytm
parcel,2024-07-24,01:28:25.658424,completed,Magadi Road Square,Kalyan Nagar 5th Stage,112,RD8749087985485028,41.98,674.19,42.69,716.8800000000001,Amazon Pay
bike lite,2024-08-03,08:18:07.658424,completed,Vasanth Nagar Depot,Gottigere Road,85,RD1021401144411719,39.76,973.23,2.43,975.66,QR scan
cab economy,2024-08-08,06:48:08.658424,completed,Madiwala 2nd Block,Malleshwaram Heights,93,RD5253605078474106,7.56,855.86,0.35,856.21,GPay
auto,2024-07-22,07:41:57.658424,completed,Nandini Layout Commons,Dooravani Nagar Landing,92,RD8338911197923960,13.47,470.12,43.12,513.24,QR scan
cab economy,2024-08-04,18:22:45.658424,completed,Jalahalli 1st Block,Benniganahalli Quay,114,RD6095423522970849,40.91,594.09,23.77,617.86,Paytm
cab economy,2024-08-12,07:42:35.658424,completed,Domlur Alley,Yeshwanthpur District,112,RD3935186545654781,33.59,192.64,8.59,201.23,Amazon Pay
cab economy,2024-07-04,08:42:06.658424,completed,RT Nagar Cut,Horamavu Agara Viewpoint,42,RD2543950013877028,29.93,820.33,6.32,826.6500000000001,QR scan
auto,2024-08-11,23:33:14.658424,completed,KR Puram View,Arekere Quadrant,90,RD1697795463472532,42.31,65.52,48.29,113.81,QR scan
auto,2024-07-24,18:39:39.658424,completed,Kalyan Nagar Run,Chokkanahalli Track,40,RD1824760523848197,44.48,107.68,21.01,128.69,Paytm
parcel,2024-06-26,18:01:10.658424,completed,MG Road Cross,Indiranagar 6th Stage,110,RD2398423105936740,30.76,240.69,24.49,265.18,GPay
parcel,2024-07-23,04:03:32.658424,completed,Hennur Layout,Ramamurthy Nagar Cross,59,RD7443621417999036,32.17,922.91,29.97,952.88,GPay
parcel,2024-07-19,17:43:34.658424,completed,Indiranagar Alcove,Kadugodi Quay,57,RD5466451594030371,36.6,396.04,28.09,424.13,Paytm
bike,2024-07-02,19:18:37.658424,completed,Thanisandra Terrace,Subramanyapura Viewpoint,61,RD5965432248301472,35.99,171.42,39.62,211.04,QR scan
bike,2024-08-02,07:55:59.658424,completed,Koramangala 7th Block Valley,Kalyan Nagar Alley,114,RD6486475120883169,27.48,918.69,4.89,923.58,Amazon Pay
cab economy,2024-07-30,11:54:35.658424,completed,Doddakannelli Road,Marathahalli Pass,47,RD9066753480385827,41.78,315.18,27.67,342.85,GPay
bike,2024-08-05,23:27:01.658424,completed,Giri Nagar Sector,Basaveshwaranagar Arcade,70,RD5242878916089760,38.84,981.6,36.74,1018.34,QR scan
parcel,2024-06-20,00:36:42.658424,completed,Agrahara Layout Ridge,Benson Town Pointe,33,RD3202132910654117,26.98,283.84,4.77,288.60999999999996,QR scan
parcel,2024-07-12,01:10:17.658424,completed,Pai Layout Pointe,Kudlu Gate Yard,16,RD1820898366850747,24.1,976.97,3.28,980.25,Amazon Pay
bike,2024-08-02,02:38:27.658424,completed,Vidyaranyapura Depot,HRBR Layout Station,24,RD1009714814609792,46.83,254.59,17.77,272.36,QR scan
parcel,2024-07-22,23:24:37.658424,completed,Basaveshwaranagar Woods,Kundalahalli Landing,47,RD5029980756405365,24.62,349.1,35.37,384.47,Paytm
bike lite,2024-06-26,18:26:44.658424,completed,Balagere 3rd Block,Gottigere Vista,110,RD3933461689629255,31.87,760.5,23.93,784.43,Amazon Pay
parcel,2024-07-11,10:52:33.658424,completed,Chikkabellandur Estate,Vasanth Nagar Run,101,RD4874358626208943,16.28,149.4,35.48,184.88,GPay
bike lite,2024-07-16,04:18:57.658424,completed,Adugodi Dam,Doddanekundi Yard,85,RD1999330380771267,35.13,212.31,46.43,258.74,Amazon Pay
bike,2024-07-26,03:54:21.658424,completed,Hosur Road Mews,Jakkur Garden,75,RD2606368857253691,16.17,128.95,39.6,168.54999999999998,QR scan
bike,2024-07-03,02:27:37.658424,completed,Vidya Vihar Cross,Kasturi Nagar Meadows,15,RD6116723291778560,16.93,797.54,5.95,803.49,QR scan
cab economy,2024-06-28,03:01:14.658424,completed,Horamavu Banaswadi Zone,Dooravani Nagar Heights,18,RD7428811776994831,9.87,777.24,11.27,788.51,Paytm
cab economy,2024-07-26,14:08:06.658424,completed,Devarachikkanahalli Sector,JP Nagar Lane,26,RD7748952612065787,22.81,903.49,37.63,941.12,Amazon Pay
cab economy,2024-07-30,15:20:51.658424,completed,Byatarayanapura Park,Electronic City Passage,71,RD4627809747429433,8.23,194.63,16.43,211.06,Amazon Pay
bike,2024-08-05,03:14:11.658424,completed,Anjanapura Meadows,Sarjapur 3rd Stage,39,RD3501576305696897,27.15,866.43,5.76,872.1899999999999,GPay
auto,2024-07-04,20:46:46.658424,completed,Bommasandra Park,Vijayanagar Boulevard,10,RD4258020606526581,42.29,933.03,49.3,982.3299999999999,GPay
bike lite,2024-06-26,15:42:03.658424,completed,Kadugodi Bridge,Sonnenahalli Run,52,RD1964225953134959,28.49,305.96,1.48,307.44,Paytm
cab economy,2024-07-29,10:59:05.658424,completed,Hosur Road Woods,Bellandur Outer Ring Road 1st Block,72,RD7404947647365576,47.96,849.99,46.36,896.35,GPay
auto,2024-08-01,01:02:46.658424,completed,Anekal Plaza,Chikkabellandur Sector,58,RD1745940370996270,5.22,254.44,33.37,287.81,QR scan
auto,2024-06-18,00:48:05.658424,completed,Sadashiva Nagar 1st Block,Yelahanka New Town Quadrant,106,RD1663851803107646,44.81,394.54,23.17,417.71000000000004,QR scan
bike lite,2024-07-16,00:27:24.658424,completed,Nelamangala Hills,Nandini Layout Nagar,28,RD9150334569566112,37.87,359.17,23.86,383.03000000000003,Paytm
cab economy,2024-08-08,11:54:04.658424,completed,Yelahanka New Town Circle,Kodigehalli 6th Block,89,RD8366635722215102,38.07,442.99,11.34,454.33,Amazon Pay
auto,2024-07-08,16:47:28.658424,completed,Kalyan Nagar Quarry,Hennur Road Colony,114,RD2939426163424571,40.35,161.02,29.87,190.89000000000001,QR scan
auto,2024-08-06,21:44:01.658424,completed,Tavarekere Works,Banerghatta Road Close,40,RD6441401958534975,14.92,696.38,27.6,723.98,Paytm
auto,2024-06-28,11:59:05.658424,completed,Bagalur Terrace,Nandini Layout Viewpoint,52,RD6058828348630857,44.7,662.85,2.28,665.13,QR scan
bike,2024-07-04,20:15:58.658424,cancelled,Hoodi Close,Madiwala Side,47,RD9440666546989037,33.39,,,,nan
bike,2024-07-01,14:26:57.658424,completed,Chikkagubbi 5th Block,Attibele 3rd Block,77,RD3258362862575129,33.28,789.22,42.16,831.38,GPay
bike,2024-07-02,20:22:26.658424,cancelled,Hennur Track,Kanakapura 2nd Stage,97,RD5941021840844244,44.17,,,,nan
parcel,2024-07-21,21:28:01.658424,completed,Vijayanagar 1st Block,Bellandur Outer Ring Road Place,47,RD4383186679122156,18.67,595.79,30.21,626.0,QR scan
cab economy,2024-08-12,04:56:11.658424,completed,Kothaguda Depot,Nayandahalli Cross,37,RD7783558412666748,24.21,208.6,12.8,221.4,Paytm
bike,2024-07-24,03:46:51.658424,completed,Horamavu Agara Cross,Bikasipura 5th Block,13,RD4836436460125991,3.52,617.69,4.85,622.5400000000001,GPay
parcel,2024-07-23,06:24:15.658424,completed,Madivala Village,Shivaji Nagar Alley,101,RD1368088824036994,23.28,854.98,33.89,888.87,Amazon Pay
bike,2024-08-06,11:19:11.658424,completed,Malleshwaram Close,Kalyan Nagar Hills,69,RD3248726943053103,49.22,489.95,48.13,538.08,GPay
bike lite,2024-08-12,07:24:02.658424,cancelled,HSR Layout Bay,Chikkalasandra Pier,12,RD8477790587657437,22.46,,,,nan
bike lite,2024-07-31,23:22:09.658424,completed,Bhadrappa Layout 4th Stage,Kumaraswamy Layout Enclave,85,RD4383447872727365,28.62,493.52,29.59,523.11,Paytm
auto,2024-07-05,01:44:13.658424,completed,Rachenahalli Complex,Babusapalya Close,42,RD0098279442964376,12.17,226.43,5.75,232.18,GPay
bike lite,2024-07-26,16:26:52.658424,cancelled,Kaggalipura Road,Malleshwaram Hills,21,RD5512288547588672,41.15,,,,nan
auto,2024-08-10,13:14:55.658424,completed,Naganathapura 2nd Stage,Arekere Lane,50,RD1142477518210024,18.82,664.76,12.47,677.23,Paytm
cab economy,2024-08-13,20:36:42.658424,completed,Doddanekundi Valley,Banaswadi Court,114,RD5175819463477247,6.71,235.17,39.7,274.87,Amazon Pay
bike,2024-07-31,17:41:59.658424,cancelled,Gottigere Woods,Mysore Road Colony,78,RD4709828903752329,44.03,,,,nan
parcel,2024-08-07,13:09:27.658424,completed,Ramamurthy Nagar Mews,Doddanekundi District,113,RD9057872672117281,34.33,362.17,14.21,376.38,Paytm
cab economy,2024-07-12,20:06:35.658424,completed,Domlur Dam,Hosur Road Summit,13,RD4920598816831832,35.11,448.77,4.86,453.63,Amazon Pay
bike lite,2024-06-22,18:25:07.658424,completed,RT Nagar Alcove,Dommasandra Mews,16,RD7757672807919759,15.0,884.01,8.64,892.65,Paytm
auto,2024-07-05,21:55:53.658424,completed,Horamavu Agara Station,Byatarayanapura Quarry,108,RD3301502224899623,39.47,998.25,29.27,1027.52,GPay
bike lite,2024-08-16,14:30:55.658424,completed,Hennur Yard,Sonnenahalli Quadrant,39,RD6458995878898480,44.79,904.2,32.57,936.7700000000001,GPay
cab economy,2024-08-04,10:17:45.658424,completed,Sarjapur Track,Koramangala 6th Block Lane,83,RD6081800849047014,20.22,345.41,21.79,367.20000000000005,QR scan
cab economy,2024-08-13,06:23:48.658424,cancelled,Banashankari Nagar,HRBR Layout 5th Block,25,RD6737818622377498,46.25,,,,nan
auto,2024-07-01,20:16:21.658424,completed,Kalyan Nagar District,Koramangala 4th Block Cut,67,RD2711969256349038,6.18,892.87,36.92,929.79,QR scan
cab economy,2024-07-16,14:55:09.658424,completed,Begur 2nd Block,Pai Layout Extension,66,RD2362674694896387,49.73,154.03,16.5,170.53,QR scan
bike,2024-07-15,14:22:29.658424,completed,RMV 2nd Stage Drive,Pai Layout 5th Block,72,RD0679562637487883,1.33,232.85,34.52,267.37,Paytm
parcel,2024-08-08,16:14:49.658424,completed,Bhuvaneshwari Nagar Pass,Naganathapura Cut,29,RD6344423934664199,30.04,848.16,0.03,848.1899999999999,GPay
bike,2024-06-17,09:45:10.658424,completed,Giri Nagar Mews,Hulimavu Trail,79,RD9053757412363532,8.34,859.3,0.53,859.8299999999999,GPay
auto,2024-07-09,17:53:32.658424,completed,RMV 2nd Stage Farms,Harohalli Vista,47,RD3367828969623911,29.97,716.05,37.25,753.3,Paytm
bike,2024-06-30,02:34:21.658424,completed,Shivaji Nagar Circle,Koramangala 8th Block Fields,62,RD2218730577454760,27.65,457.4,14.93,472.33,GPay
cab economy,2024-07-24,11:49:55.658424,completed,Gottigere Trail,Rajarajeshwari Nagar Park,73,RD9677029515755856,37.55,95.61,10.7,106.31,Paytm
cab economy,2024-08-09,12:23:31.658424,completed,Kothaguda Garden,Yeshwanthpur 5th Block,71,RD9889177023657201,33.34,872.98,44.14,917.12,GPay
cab economy,2024-07-02,18:57:11.658424,cancelled,Madiwala Landing,Kundalahalli Landing,57,RD6742443236568174,16.48,,,,nan
parcel,2024-08-15,16:16:59.658424,completed,Ashok Nagar Sector,Ramnagar Close,42,RD7683163547488428,31.94,405.54,26.41,431.95000000000005,Paytm
auto,2024-06-26,15:23:41.658424,completed,Koramangala Circle,Chikkagubbi Promenade,47,RD8517874085637545,36.36,656.22,25.52,681.74,Paytm
parcel,2024-06-24,23:43:16.658424,completed,BTM 2nd Stage Run,Vidyaranyapura 2nd Stage,98,RD8806521992544697,11.99,386.13,46.26,432.39,QR scan
auto,2024-08-08,01:32:10.658424,completed,Kasavanahalli Landing,Yelahanka New Town Track,81,RD6786911034709224,34.17,891.55,41.58,933.13,Paytm
bike,2024-08-12,16:40:18.658424,completed,Mahalakshmi Layout Farms,Bagalur Cutting,90,RD8658522508296243,8.21,204.06,37.04,241.1,QR scan
auto,2024-06-23,11:33:45.658424,completed,Chikkabellandur Quarters,Chikkabellandur 1st Block,45,RD1732642901541060,40.07,870.44,17.73,888.1700000000001,QR scan
bike lite,2024-06-22,02:26:41.658424,completed,Doddanekundi Boulevard,Kudlu 1st Stage,77,RD4380840413628384,21.17,805.56,49.0,854.56,Amazon Pay
bike,2024-08-06,15:12:12.658424,completed,Nandini Layout Side,Koramangala 6th Block Complex,74,RD0514368669333643,36.28,121.34,32.2,153.54000000000002,Amazon Pay
bike,2024-07-24,07:58:55.658424,completed,Basaveshwaranagar Meadows,Bommasandra Pass,70,RD5153749353452243,29.81,55.66,28.87,84.53,Paytm
parcel,2024-07-19,12:12:26.658424,completed,Kothanur Run,Hoodi Trail,70,RD7002454046031612,28.1,381.52,34.74,416.26,Paytm
bike,2024-08-07,01:21:31.658424,completed,Nelamangala Bay,Bellandur Outer Ring Road Township,10,RD3712076315089066,12.65,613.12,32.34,645.46,QR scan
bike lite,2024-07-01,03:10:40.658424,completed,Hosur Road Track,HSR Layout Station,87,RD8960268817323279,2.48,873.06,46.64,919.6999999999999,Amazon Pay
bike,2024-08-11,11:44:53.658424,completed,Sanjay Nagar Place,Kumaraswamy Layout Plaza,76,RD9140265966895250,6.96,753.57,43.98,797.5500000000001,GPay
auto,2024-07-20,08:02:00.658424,completed,Kudlu Grove,Bagalur 1st Stage,90,RD3061773484339958,10.8,583.3,19.82,603.12,Amazon Pay
bike,2024-08-12,18:43:09.658424,completed,Peenya Nagar,Rajajinagar 4th Stage,21,RD2703982599393961,38.62,529.62,43.26,572.88,GPay
bike,2024-07-13,18:55:35.658424,cancelled,Bhuvaneshwari Nagar Cove,Banaswadi Hills,48,RD8120617584961210,22.15,,,,nan
parcel,2024-06-24,09:15:11.658424,completed,Avalahalli Mews,Kadugodi Esplanade,49,RD7817698562776509,7.71,406.26,7.15,413.40999999999997,QR scan
bike lite,2024-07-10,05:41:21.658424,completed,BTM 2nd Stage District,Mahalakshmi Layout Quadrant,105,RD8520061372347393,42.87,495.9,31.21,527.11,GPay
parcel,2024-07-01,12:57:38.658424,completed,Bommanahalli Quarters,Horamavu Banaswadi Track,55,RD0973661074823167,29.87,725.31,25.75,751.06,GPay
parcel,2024-07-15,09:15:23.658424,completed,Koramangala 8th Block 3rd Stage,Ganganagar 6th Block,47,RD6333675127605548,43.86,622.8,42.52,665.3199999999999,QR scan
bike,2024-06-28,14:50:21.658424,completed,Bellandur Outer Ring Road Cutting,HRBR Layout Drive,25,RD5024675284415446,43.2,76.5,16.44,92.94,Paytm
parcel,2024-07-09,17:19:37.658424,completed,Kaggalipura Summit,Mahalakshmi Layout Boulevard,28,RD7997107431660861,17.4,679.6,6.87,686.47,QR scan
auto,2024-06-22,07:08:25.658424,completed,Sadashiva Nagar Complex,Doddakannelli Fields,27,RD5300982466987771,2.3,147.82,19.18,167.0,Amazon Pay
bike,2024-08-05,17:18:20.658424,completed,Shivaji Nagar 3rd Block,Dr. Shivaram Karanth Nagar Way,96,RD8371030319044223,7.25,360.64,40.9,401.53999999999996,Amazon Pay
auto,2024-06-25,19:58:15.658424,completed,RMV 2nd Stage Enclave,Vasanth Nagar Bay,25,RD9716431622386807,6.71,706.15,48.91,755.06,GPay
bike,2024-07-16,09:36:48.658424,completed,Srirampura Loop,Banaswadi Meadows,16,RD4469354064412698,48.49,691.43,9.58,701.01,Paytm
bike,2024-07-29,02:09:53.658424,cancelled,Byatarayanapura Loop,Kothanur Grove,98,RD8958235189287107,28.98,,,,nan
auto,2024-07-23,04:38:36.658424,completed,Kalena Agrahara 5th Stage,Attibele Village,28,RD1515945848169147,1.1,834.29,12.81,847.0999999999999,Amazon Pay
auto,2024-06-30,18:18:48.658424,completed,Jakkasandra Colony,Ramamurthy Nagar 5th Block,51,RD9498534098246322,43.56,460.57,9.56,470.13,Amazon Pay
bike,2024-08-03,13:47:23.658424,completed,Indiranagar 1st Block,Vidyaranyapura Trail,50,RD3876719637163056,26.56,251.62,11.8,263.42,GPay
bike,2024-08-11,18:11:11.658424,completed,Arekere 3rd Block,Peenya District,77,RD2231103558385710,17.16,68.59,26.82,95.41,Paytm
auto,2024-08-14,02:21:54.658424,completed,Doddanekundi Circle,Chikkajala View,54,RD7178770997670771,17.3,895.86,7.94,903.8000000000001,GPay
bike,2024-08-10,18:00:43.658424,completed,Horamavu Banaswadi Cross,Giri Nagar Landing,41,RD9615684871098686,22.4,400.94,29.82,430.76,QR scan
auto,2024-06-30,15:48:40.658424,completed,Koramangala 7th Block Garden,Horamavu Banaswadi 4th Stage,111,RD6568816135451726,17.18,654.0,23.01,677.01,QR scan
parcel,2024-07-20,22:21:15.658424,completed,Byatarayanapura Cross,Horamavu Agara Meadows,113,RD7261656281056441,10.93,828.53,8.98,837.51,Amazon Pay
parcel,2024-07-11,17:30:35.658424,completed,Yeshwanthpur Alley,Basavanagudi Cross,62,RD0027528586115091,20.94,75.31,36.17,111.48,Paytm
parcel,2024-08-11,08:13:25.658424,completed,Sadashiva Nagar 4th Block,Horamavu Garden,68,RD5934873711236684,19.99,163.68,0.67,164.35,GPay
bike,2024-08-02,00:05:45.658424,completed,Tavarekere 2nd Block,Mysore Road Heights,57,RD6023497588863308,11.83,542.13,15.19,557.32,GPay
bike,2024-07-15,13:15:37.658424,completed,Kalyan Nagar Hills,Banerghatta Road Area,116,RD1931945764212645,9.02,203.52,46.4,249.92000000000002,Paytm
bike,2024-07-11,23:03:18.658424,completed,Chandra Layout Cutting,Bommasandra Trail,84,RD4333780316421602,5.93,872.39,49.61,922.0,Paytm
auto,2024-07-04,07:14:59.658424,completed,KR Puram Estate,Vidyaranyapura 3rd Stage,57,RD9528955592528898,14.56,829.11,46.11,875.22,Amazon Pay
bike,2024-07-21,10:10:11.658424,completed,Munnekollal Alcove,Koramangala 8th Block 2nd Block,88,RD9334050259407461,10.65,910.72,10.81,921.53,GPay
cab economy,2024-07-26,15:26:24.658424,completed,Banashankari Plaza,Hennur Road Harbor,58,RD4169509663131903,29.06,571.45,12.73,584.1800000000001,Amazon Pay
auto,2024-07-17,23:16:00.658424,completed,Dr. Shivaram Karanth Nagar Zone,Bikasipura Viewpoint,24,RD0804197732244218,34.67,637.1,14.64,651.74,QR scan
bike lite,2024-07-08,08:59:15.658424,completed,Nagasandra Plaza,Kaval Byrasandra Place,51,RD1266747826310224,18.8,901.4,42.7,944.1,QR scan
bike,2024-07-31,22:46:33.658424,cancelled,Marathahalli Nagar,Kalyan Nagar Dam,99,RD0312028831219563,17.82,,,,nan
auto,2024-06-25,00:38:24.658424,completed,Bikasipura Crescent,Ganganagar Cutting,104,RD2827090828232093,3.77,182.13,4.15,186.28,Amazon Pay
cab economy,2024-07-01,00:54:31.658424,completed,Chikkalasandra Harbor,Nagwara Esplanade,116,RD3912708244538106,36.32,818.4,18.16,836.56,Amazon Pay
auto,2024-06-30,18:00:57.658424,completed,Bellandur Way,Banaswadi Valley,44,RD1309767935123819,7.71,91.62,33.14,124.76,GPay
cab economy,2024-07-18,16:31:52.658424,completed,Kudlu Gate Estate,Koramangala Side,119,RD5764173879219198,23.78,186.83,10.41,197.24,GPay
auto,2024-08-12,04:34:17.658424,completed,Kothaguda 6th Stage,Madivala 2nd Block,81,RD2817457631499854,43.95,698.97,37.43,736.4,Paytm
cab economy,2024-07-09,19:12:05.658424,completed,Rachenahalli Square,Gottigere Valley,101,RD9528762738498997,3.91,232.49,35.8,268.29,Amazon Pay
bike,2024-08-12,17:25:47.658424,completed,Nagarbhavi Depot,Kengeri Landing,12,RD1540027678938515,30.8,365.26,4.8,370.06,QR scan
auto,2024-08-11,02:05:02.658424,completed,Banerghatta Road Estate,Giri Nagar Colony,69,RD1786824885276852,14.58,252.2,35.98,288.18,GPay
parcel,2024-07-04,20:47:35.658424,completed,Banaswadi 3rd Stage,Marathahalli 6th Stage,26,RD6857283059522509,6.32,388.93,8.92,397.85,QR scan
bike,2024-06-29,10:32:33.658424,completed,Hulimavu Farms,Magadi Road Layout,35,RD1877120300511106,5.97,312.1,42.4,354.5,QR scan
bike,2024-07-14,21:11:22.658424,completed,Sahakar Nagar Summit,ITI Layout Quarters,91,RD1892465526714383,8.21,525.78,0.27,526.05,QR scan
parcel,2024-08-04,23:28:00.658424,completed,Agrahara Layout Nagar,Bhadrappa Layout Square,51,RD1010674639751900,22.12,223.43,34.02,257.45,Paytm
bike,2024-07-17,05:19:04.658424,completed,Bhadrappa Layout Court,RMV 2nd Stage Depot,116,RD6626967371967560,5.25,825.15,30.78,855.93,QR scan
bike,2024-08-07,14:06:24.658424,completed,Mahadevapura Quarry,Mahalakshmi Layout Summit,40,RD6075875377494789,43.45,713.06,24.87,737.93,GPay
bike,2024-07-24,12:49:03.658424,completed,Doddanekundi Woods,Horamavu Banaswadi Village,66,RD9901840071535346,2.9,926.36,7.95,934.3100000000001,GPay
bike,2024-07-03,20:27:05.658424,completed,Kanaka Nagar 6th Stage,Madiwala 6th Stage,29,RD4169980399196239,17.7,831.31,16.87,848.18,Paytm
cab economy,2024-07-30,04:00:25.658424,completed,Chikkajala 1st Block,Anjanapura Road,106,RD7530300740168695,17.21,432.99,18.61,451.6,GPay
parcel,2024-08-07,09:38:23.658424,completed,Tavarekere Vista,Yelahanka New Town Court,26,RD2545478165710406,8.05,716.76,12.18,728.9399999999999,Paytm
bike,2024-06-21,09:06:01.658424,cancelled,Whitefield Ridge,Sonnenahalli Way,88,RD8682637983164025,19.85,,,,nan
bike,2024-06-29,01:06:15.658424,completed,Giri Nagar Enclave,Bikasipura Lane,100,RD3541580009208914,45.15,104.5,22.98,127.48,GPay
bike,2024-06-30,19:13:34.658424,completed,Doddakannelli 2nd Stage,Ramamurthy Nagar Quadrant,57,RD1583569282326582,33.5,75.08,29.15,104.22999999999999,Amazon Pay
auto,2024-06-18,11:54:33.658424,completed,Yelahanka Grove,Koramangala Meadows,68,RD3517203356552837,18.39,970.23,6.1,976.33,Paytm
auto,2024-08-08,16:06:48.658424,completed,Yelahanka New Town 3rd Block,Horamavu Banaswadi Mews,27,RD1916007746021774,20.95,679.08,23.34,702.4200000000001,QR scan
auto,2024-06-17,13:52:56.658424,completed,Jalahalli Quarry,Naganathapura Cove,90,RD7865761564283906,19.12,812.85,22.65,835.5,Amazon Pay
parcel,2024-07-15,22:19:12.658424,cancelled,Kalyan Nagar Square,Koramangala 4th Block Bay,105,RD0912936639186907,49.82,,,,nan
auto,2024-08-04,04:38:12.658424,completed,Avalahalli Quarry,Thanisandra Way,98,RD8373949197395349,7.54,268.9,22.28,291.17999999999995,QR scan
bike lite,2024-08-15,03:16:03.658424,completed,Hosur Sarjapur Road Layout Farms,Chandra Layout Zone,100,RD0011120740538247,45.86,452.1,31.88,483.98,Paytm
parcel,2024-08-05,22:30:54.658424,completed,Kumaraswamy Layout Area,ITI Layout Cut,94,RD9919057987726733,8.28,782.35,38.14,820.49,GPay
bike,2024-07-16,17:24:37.658424,completed,Chandra Layout Promenade,Varthur 4th Block,35,RD1990500631451440,20.11,807.67,36.39,844.06,QR scan
cab economy,2024-06-28,22:44:55.658424,completed,Kanaka Nagar Extension,Whitefield Farms,83,RD9336082502236221,28.31,462.19,3.99,466.18,QR scan
auto,2024-07-09,03:37:58.658424,completed,Jakkur 5th Stage,Rajajinagar Arc,10,RD3792305787181312,21.46,718.67,19.46,738.13,QR scan
bike lite,2024-06-22,21:21:36.658424,completed,Koramangala 4th Block Promenade,Subramanyapura Crescent,99,RD5156989425284511,43.56,661.29,15.57,676.86,QR scan
cab economy,2024-07-31,04:31:47.658424,completed,Ashok Nagar Estate,Mahadevapura Cross,53,RD1937990780302275,32.51,700.51,22.98,723.49,Amazon Pay
parcel,2024-06-20,19:01:10.658424,completed,Sadashiva Nagar Square,Horamavu Cross,87,RD6857737626036599,35.21,766.28,33.14,799.42,Paytm
auto,2024-07-18,23:20:01.658424,completed,Hulimavu Enclave,Benson Town 3rd Block,83,RD5136546915662513,4.8,314.69,46.14,360.83,Paytm
auto,2024-06-21,21:33:12.658424,completed,Kudlu Colony,Thanisandra District,55,RD3112975200591090,28.18,236.87,11.48,248.35,Paytm
bike,2024-07-21,07:42:34.658424,completed,Kaggalipura Cove,Koramangala Commons,47,RD7145238984958015,22.35,880.49,44.69,925.1800000000001,Paytm
bike,2024-07-09,16:19:59.658424,completed,Giri Nagar Enclave,Tavarekere 6th Block,60,RD4724938154663308,25.77,959.34,0.48,959.82,QR scan
parcel,2024-07-23,17:01:34.658424,completed,Kadubeesanahalli Sector,Hebbal Kempapura 1st Stage,76,RD6097057044495323,5.65,337.02,7.81,344.83,QR scan
auto,2024-07-16,08:08:48.658424,cancelled,HRBR Layout Landing,Bommanahalli Arcade,23,RD0681711263441442,18.85,,,,nan
auto,2024-07-06,02:48:23.658424,completed,Jayanagar Quarry,Nayandahalli Summit,76,RD8474855860073332,20.49,253.72,12.05,265.77,Amazon Pay
bike lite,2024-07-31,06:39:18.658424,completed,Bellandur Outer Ring Road Estate,Kothaguda Zone,13,RD9323099964256245,25.08,104.19,0.35,104.53999999999999,Paytm
parcel,2024-06-27,07:23:35.658424,completed,Sahakar Nagar Quarters,HSR Layout Quay,101,RD7838568344362787,26.69,439.11,43.19,482.3,Amazon Pay
cab economy,2024-07-20,05:01:26.658424,completed,Koramangala 2nd Stage,Gottigere 2nd Block,83,RD4510559107077411,45.71,648.0,43.42,691.42,QR scan
auto,2024-07-08,03:37:05.658424,completed,Thanisandra Run,Rajajinagar Colony,53,RD8662898817551767,2.04,899.62,27.75,927.37,GPay
auto,2024-07-23,19:58:56.658424,completed,Varthur Cutting,Kalyan Nagar 3rd Stage,118,RD6863371194290476,4.15,440.47,17.4,457.87,QR scan
auto,2024-06-21,15:02:15.658424,completed,Madivala Summit,Banashankari Complex,58,RD1809856020051482,40.63,805.74,23.55,829.29,QR scan
cab economy,2024-08-02,14:02:33.658424,completed,Amruthahalli Loop,Sahakar Nagar Yard,91,RD9671569485203000,45.62,604.44,14.9,619.34,QR scan
parcel,2024-07-01,19:51:36.658424,completed,Basavanagudi Fields,Basavanagudi Dam,49,RD0651489114393304,43.18,975.71,47.7,1023.4100000000001,Amazon Pay
parcel,2024-07-22,12:48:10.658424,completed,Vasanth Nagar Court,Subramanyapura Quarters,31,RD5870163194744975,7.74,365.21,42.25,407.46,Paytm
parcel,2024-08-09,21:21:06.658424,completed,Dooravani Nagar Viewpoint,Basavanagudi 5th Block,54,RD4412005559537171,17.02,72.67,9.14,81.81,Paytm
bike lite,2024-07-25,18:23:22.658424,completed,Basavanagudi Terrace,Koramangala 7th Block Square,112,RD3236485741973357,27.24,86.01,38.03,124.04,Paytm
cab economy,2024-07-03,17:57:49.658424,completed,Srirampura Circle,VV Puram Close,65,RD4480065246811965,34.94,337.52,44.55,382.07,Amazon Pay
bike,2024-07-04,22:27:25.658424,completed,Koramangala 5th Block,Nandini Layout Farms,40,RD7219282478156567,23.35,367.92,46.81,414.73,Amazon Pay
bike,2024-06-20,12:39:57.658424,completed,Tavarekere Farms,Munnekollal Close,58,RD5340163043131532,25.43,965.76,14.32,980.08,GPay
